,Region,Incident ID,Incident Type,Full Location ,Start Date,Start Time,Duration ICT,Lanes Blocked,Blockage Duration RCT,Response Time,"Rural/
Urban",Key ,County,Interstate,Route,Direction,Unnamed: 16,Description,Inc MM,Latitude,Longitude,Severity Lanes,Severity Duration,Severity,Temp,Prec,Condition,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,sunrise,sunset,moonphase,conditions,description,icon,stations
864,3,1867,MultiVehicle Crash,"DAVIDSON on Interstate 65 Northbound, Beyond MILE MARKER 81.4",2020-11-22,3:03:51 PM,17.23333333,0,10.81666667,1.966666667,Urban,881,DAVIDSON,I-65N,I-65,Northbound,Beyond,MILE MARKER 81.4          ,81.4,36.13348936,-86.77524153,Level 1,Level 1,Level 1,55.9,0.02,Rain,nashville tennessee,2020-11-22,65.3,43.6,53.8,65.3,38.0,52.1,47.3,79.11,0.09,25.0,0.0,0.0,27.6,14.8,237.2,1022.3,82.8,8.9,2020-11-22T06:31:35,2020-11-22T16:34:58,0.27,Rain,Partly cloudy throughout the day with afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
865,3,1868,MultiVehicle Crash,"DAVIDSON on Interstate 24 Westbound, At EXIT 54: SR-155 / BRILEY PKWY.",2020-11-22,3:09:59 PM,9,0,0,0,Urban,882,DAVIDSON,I-24W,I-24,Westbound,At,EXIT 54 SR-155 / BRILEY PKWY.       ,54.0,36.06493445,-86.68486152,Level 1,Level 1,Level 1,55.9,0.02,Rain,nashville tennessee,2020-11-22,65.3,43.6,53.8,65.3,38.0,52.1,47.3,79.11,0.09,25.0,0.0,0.0,27.6,14.8,237.2,1022.3,82.8,8.9,2020-11-22T06:31:35,2020-11-22T16:34:58,0.27,Rain,Partly cloudy throughout the day with afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
866,3,1870,MultiVehicle Crash,"DAVIDSON on Interstate 65 Northbound, At EXIT 81: WEDGEWOOD AVE.",2020-11-22,3:14:12 PM,555.5833333,0,0,0.033333333,Urban,884,DAVIDSON,I-65N,I-65,Northbound,At,EXIT 81 WEDGEWOOD AVE.         ,81.0,36.1259136,-86.77261403,Level 1,Level 1,Level 1,55.9,0.02,Rain,nashville tennessee,2020-11-22,65.3,43.6,53.8,65.3,38.0,52.1,47.3,79.11,0.09,25.0,0.0,0.0,27.6,14.8,237.2,1022.3,82.8,8.9,2020-11-22T06:31:35,2020-11-22T16:34:58,0.27,Rain,Partly cloudy throughout the day with afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
870,3,1875,MultiVehicle Crash,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 53.8",2020-11-22,3:51:41 PM,36,1,0,4,Urban,888,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 53.8          ,53.8,36.06725492,-86.68727151,Level 2,Level 1,Level 1,55.9,0.02,Rain,nashville tennessee,2020-11-22,65.3,43.6,53.8,65.3,38.0,52.1,47.3,79.11,0.09,25.0,0.0,0.0,27.6,14.8,237.2,1022.3,82.8,8.9,2020-11-22T06:31:35,2020-11-22T16:34:58,0.27,Rain,Partly cloudy throughout the day with afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
884,3,1891,MultiVehicle Crash,"DAVIDSON on Interstate 65 Southbound, Beyond MILE MARKER 87.4",2020-11-22,5:52:27 PM,76.36666667,2,1.216666667,5.416666667,Urban,903,DAVIDSON,I-65S,I-65,Southbound,Beyond,MILE MARKER 87.4          ,87.4,36.22794208,-86.77290665,Level 3,Level 1,Level 1,48.7,0.01,Rain,nashville tennessee,2020-11-22,65.3,43.6,53.8,65.3,38.0,52.1,47.3,79.11,0.09,25.0,0.0,0.0,27.6,14.8,237.2,1022.3,82.8,8.9,2020-11-22T06:31:35,2020-11-22T16:34:58,0.27,Rain,Partly cloudy throughout the day with afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
885,3,1892,MultiVehicle Crash,"DAVIDSON on Interstate 65 Southbound, Beyond MILE MARKER 86.6",2020-11-22,6:03:15 PM,50.83333333,0,0,0.016666667,Urban,904,DAVIDSON,I-65S,I-65,Southbound,Beyond,MILE MARKER 86.6          ,86.6,36.21622373,-86.77513131,Level 1,Level 1,Level 1,47.7,0.0,Clear,nashville tennessee,2020-11-22,65.3,43.6,53.8,65.3,38.0,52.1,47.3,79.11,0.09,25.0,0.0,0.0,27.6,14.8,237.2,1022.3,82.8,8.9,2020-11-22T06:31:35,2020-11-22T16:34:58,0.27,Rain,Partly cloudy throughout the day with afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
886,3,1894,MultiVehicle Crash,"DAVIDSON on Interstate 40 Eastbound, Beyond MILE MARKER 210.8",2020-11-22,6:57:13 PM,34,0,29,2,Urban,905,DAVIDSON,I-40E,I-40,Eastbound,Beyond,MILE MARKER 210.8          ,210.8,36.15415975,-86.76281062,Level 1,Level 1,Level 1,47.7,0.0,Clear,nashville tennessee,2020-11-22,65.3,43.6,53.8,65.3,38.0,52.1,47.3,79.11,0.09,25.0,0.0,0.0,27.6,14.8,237.2,1022.3,82.8,8.9,2020-11-22T06:31:35,2020-11-22T16:34:58,0.27,Rain,Partly cloudy throughout the day with afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
888,3,1899,MultiVehicle Crash,"DAVIDSON on Interstate 65 Northbound, Before MILE MARKER 87",2020-11-22,7:23:06 PM,9.9,0,0,0.033333333,Urban,907,DAVIDSON,I-65N,I-65,Northbound,Before,MILE MARKER 87          ,87.0,36.22194614,-86.77444746,Level 1,Level 1,Level 1,45.6,0.0,Clear,nashville tennessee,2020-11-22,65.3,43.6,53.8,65.3,38.0,52.1,47.3,79.11,0.09,25.0,0.0,0.0,27.6,14.8,237.2,1022.3,82.8,8.9,2020-11-22T06:31:35,2020-11-22T16:34:58,0.27,Rain,Partly cloudy throughout the day with afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
890,3,1904,MultiVehicle Crash,"DAVIDSON on Interstate 65 Northbound, Before MILE MARKER 88.2",2020-11-22,10:15:11 PM,72.08333333,0,0,0.016666667,Urban,910,DAVIDSON,I-65N,I-65,Northbound,Before,MILE MARKER 88.2          ,88.2,36.23605024,-86.76303125,Level 1,Level 1,Level 1,44.7,0.0,Clear,nashville tennessee,2020-11-22,65.3,43.6,53.8,65.3,38.0,52.1,47.3,79.11,0.09,25.0,0.0,0.0,27.6,14.8,237.2,1022.3,82.8,8.9,2020-11-22T06:31:35,2020-11-22T16:34:58,0.27,Rain,Partly cloudy throughout the day with afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
1064,3,2153,MultiVehicle Crash,"RUTHERFORD on Interstate 24 Eastbound, Beyond MILE MARKER 67",2020-11-25,12:54:46 AM,6,0,0,0,Urban,1103,RUTHERFORD,I-24E,I-24,Eastbound,Beyond,MILE MARKER 67          ,67.0,35.96873221,-86.56713529,Level 1,Level 1,Level 1,57.1,0.0,Clear,nashville tennessee,2020-11-25,66.5,53.0,59.9,66.5,53.0,59.9,49.4,68.61,0.04,16.67,0.0,0.0,38.4,26.1,198.2,1014.3,78.9,9.7,2020-11-25T06:34:32,2020-11-25T16:33:50,0.4,Rain,Partly cloudy throughout the day with morning rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
